Gender;År;Månad;Månad_Nummer;Säsong;Antal_Döda
Kvinnor;2014;November;11;Höst;30.0
Kvinnor;2014;December;12;Vinter;30.0
Kvinnor;2015;Januari;1;Vinter;19.0
Kvinnor;2015;Februari;2;Vinter;22.0
Kvinnor;2015;Mars;3;Vår;30.0
Kvinnor;2015;April;4;Vår;28.0
Kvinnor;2015;Maj;5;Vår;27.0
Kvinnor;2015;Juni;6;Sommar;37.0
Kvinnor;2015;Juli;7;Sommar;31.0
Kvinnor;2015;Augusti;8;Sommar;31.0
Kvinnor;2015;September;9;Höst;32.0
Kvinnor;2015;Oktober;10;Höst;22.0
Kvinnor;2015;November;11;Höst;31.0
Kvinnor;2015;December;12;Vinter;22.0
Kvinnor;2016;Januari;1;Vinter;28.0
Kvinnor;2016;Februari;2;Vinter;28.0
Kvinnor;2016;Mars;3;Vår;28.0
Kvinnor;2016;April;4;Vår;29.0
Kvinnor;2016;Maj;5;Vår;32.0
Kvinnor;2016;Juni;6;Sommar;35.0
Kvinnor;2016;Juli;7;Sommar;31.0
Kvinnor;2016;Augusti;8;Sommar;28.0
Kvinnor;2016;September;9;Höst;29.0
Kvinnor;2016;Oktober;10;Höst;30.0
Kvinnor;2016;November;11;Höst;34.0
Kvinnor;2016;December;12;Vinter;18.0
